x_m y_m sigma_xx_Pa sigma_xy_Pa sigma_yy_Pa von_mises_Pa sigma_max_principal_Pa sigma_min_principal_Pa sigma_tension_Pa sigma_comp_mag_Pa
3.2748411583e-05 1.3418027791e-04 -5.7439921292e+01 -7.4779289039e+00 -3.3536608579e+01 2.4342339876e+01 -3.1434208455e+01 -5.9542321416e+01 -1.4423594802e-09 5.9542321416e+01
3.0428799997e-05 1.3390381756e-04 -5.5643773649e+01 -6.7597356248e+00 -3.3366387163e+01 2.2493754694e+01 -3.1518305078e+01 -5.7491855734e+01 -4.2682952334e-09 5.7491855734e+01
2.8093687258e-05 1.3363919000e-04 -5.3744292308e+01 -6.1510286477e+00 -3.3251500729e+01 2.0624594189e+01 -3.1590281512e+01 -5.5405511526e+01 -2.5788754452e-09 5.5405511526e+01
2.5742804328e-05 1.3338435660e-04 -5.1705330891e+01 -5.7044683233e+00 -3.3215560753e+01 1.8742335257e+01 -3.1639553516e+01 -5.3281338128e+01 -1.5263034705e-09 5.3281338128e+01
2.3375174158e-05 1.3313697532e-04 -4.9426013513e+01 -5.5079320958e+00 -3.3193880859e+01 1.6930756217e+01 -3.1534970527e+01 -5.1084923846e+01 6.7509187731e-10 5.1084923846e+01
2.0990963958e-05 1.3289185326e-04 -4.7548930160e+01 -5.8476754024e+00 -3.3763694542e+01 1.5642741557e+01 -3.1624971302e+01 -4.9687653400e+01 4.3143236281e-09 4.9687653400e+01
1.8597742899e-05 1.3265201283e-04 -4.7963108768e+01 -6.6993152222e+00 -3.4844091683e+01 1.6236180906e+01 -3.2029636809e+01 -5.0777563642e+01 8.0546339882e-09 5.0777563642e+01
1.6211166358e-05 1.3242982332e-04 -4.9404425068e+01 -6.9330194734e+00 -3.5065574454e+01 1.7259909894e+01 -3.2269986138e+01 -5.2200013384e+01 1.4934830614e-08 5.2200013384e+01
1.3828019688e-05 1.3222633150e-04 -4.9428632334e+01 -6.2808294498e+00 -3.4312358505e+01 1.6974375904e+01 -3.2070334922e+01 -5.1670655917e+01 5.2598822687e-09 5.1670655917e+01
1.1440130140e-05 1.3203347352e-04 -4.8491179399e+01 -5.4361445912e+00 -3.3777252691e+01 1.5799933875e+01 -3.2012119969e+01 -5.0256312121e+01 -7.0833339962e-09 5.0256312121e+01
9.0446576561e-06 1.3184740307e-04 -4.7459863635e+01 -4.8243892337e+00 -3.3434268502e+01 1.4688313003e+01 -3.1966764602e+01 -4.8927367534e+01 -3.1658593480e-09 4.8927367534e+01
6.6413864338e-06 1.3166640379e-04 -4.6346849046e+01 -4.2509937635e+00 -3.3161199197e+01 1.3539966107e+01 -3.1936721045e+01 -4.7571327198e+01 1.1465796573e-09 4.7571327198e+01
4.2300410734e-06 1.3148934939e-04 -4.5215964981e+01 -3.7418887566e+00 -3.2935579583e+01 1.2395502840e+01 -3.1919225381e+01 -4.6232319184e+01 1.6524023462e-09 4.6232319184e+01
1.8105061141e-06 1.3131529801e-04 -4.4062076027e+01 -3.2688910518e+00 -3.2744117071e+01 1.1247063497e+01 -3.1909601411e+01 -4.4896591687e+01 9.1052041273e-09 4.4896591687e+01
-6.1724768314e-07 1.3114343832e-04 -4.2908172950e+01 -2.8254582741e+00 -3.2580913070e+01 1.0143844942e+01 -3.1887991402e+01 -4.3601094618e+01 1.0483811384e-08 4.3601094618e+01
-3.0531834398e-06 1.3097306765e-04 -4.1749449388e+01 -2.4115594295e+00 -3.2437192430e+01 9.0363065519e+00 -3.1876206889e+01 -4.2310434929e+01 8.3102324051e-09 4.2310434929e+01
-5.4972271436e-06 1.3080354126e-04 -4.0603952175e+01 -2.0272795591e+00 -3.2314306261e+01 7.9308794536e+00 -3.1880233831e+01 -4.1038024606e+01 2.3556122748e-08 4.1038024606e+01
-7.9493274414e-06 1.3063429516e-04 -3.9466022356e+01 -1.6620129367e+00 -3.2205355443e+01 6.8783215370e+00 -3.1864488108e+01 -3.9806889690e+01 1.4362613619e-08 3.9806889690e+01
-1.0409381119e-05 1.3046480624e-04 -3.8345390883e+01 -1.3286337944e+00 -3.2103620269e+01 5.8089616493e+00 -3.1870700004e+01 -3.8578311148e+01 7.2070189013e-09 3.8578311148e+01
