x_m,y_m,sigma_xx_Pa,sigma_xy_Pa,sigma_yy_Pa,von_mises_Pa,sigma_max_principal_Pa,sigma_min_principal_Pa,sigma_tension_Pa,sigma_comp_mag_Pa
2.1267848306e-04,1.1873877976e-04,-3.9213714228e+00,-5.1957507805e+00,-1.2353290911e+01,1.1588673317e+01,-1.4466075074e+00,-1.4828054826e+01,-2.0935477183e-03,1.4828054826e+01
2.1312519745e-04,1.2253667846e-04,-3.5102705007e+00,-5.4361564457e+00,-1.2105524159e+01,1.2002260913e+01,-8.7838876126e-01,-1.4737405899e+01,9.8133637329e-03,1.4737405899e+01
2.1707154748e-04,1.2364855439e-04,-3.1892312334e+00,-5.7021001531e+00,-1.1803656497e+01,1.2376965540e+01,-3.5059947884e-01,-1.4642288251e+01,-2.7829802609e-02,1.4642288251e+01
2.0918272043e-04,1.2140253440e-04,-3.8590535073e+00,-5.1446038552e+00,-1.2420615279e+01,1.1591549315e+01,-1.4474502756e+00,-1.4832218511e+01,-3.0560732037e-03,1.4832218511e+01
2.0960945691e-04,1.2520176914e-04,-3.4007034272e+00,-5.3907738050e+00,-1.2176971262e+01,1.2039072850e+01,-8.3807539395e-01,-1.4739599295e+01,1.2441844694e-02,1.4739599295e+01
2.0567197808e-04,1.2404658247e-04,-3.7737337191e+00,-5.0987065267e+00,-1.2488605959e+01,1.1616408414e+01,-1.4244333142e+00,-1.4837906364e+01,-3.4165150421e-03,1.4837906364e+01
2.0607703375e-04,1.2784702658e-04,-3.2639140527e+00,-5.3501453441e+00,-1.2248959869e+01,1.2100071263e+01,-7.7045755992e-01,-1.4742416362e+01,1.1953334816e-02,1.4742416362e+01
2.0214442013e-04,1.2667007014e-04,-3.6627508619e+00,-5.0574101560e+00,-1.2557825623e+01,1.1664621972e+01,-1.3757156069e+00,-1.4844860878e+01,-2.6083164077e-03,1.4844860878e+01
2.1001549610e-04,1.2899927279e-04,-2.8980867589e+00,-5.6135001767e+00,-1.1956890721e+01,1.2492897970e+01,-2.1471073399e-01,-1.4640266746e+01,-4.5623841671e-02,1.4640266746e+01
2.0252584684e-04,1.3047111550e-04,-3.0967973875e+00,-5.3134328419e+00,-1.2322024329e+01,1.2186787652e+01,-6.7336572701e-01,-1.4745455989e+01,4.4930545462e-03,1.4745455989e+01
2.0173949835e-04,1.2286667498e-04,-4.1747991828e+00,-4.7778188055e+00,-1.2818817523e+01,1.1158278104e+01,-2.0545734860e+00,-1.4939043220e+01,8.7297301456e-04,1.4939043220e+01
2.0873352020e-04,1.1760274161e-04,-4.2710182996e+00,-4.8795540657e+00,-1.2687097905e+01,1.1159581887e+01,-2.0360704958e+00,-1.4922045709e+01,6.9700506798e-04,1.4922045709e+01
1.9821783697e-04,1.2546723752e-04,-4.0922391594e+00,-4.7336629707e+00,-1.2887564106e+01,1.1190486003e+01,-2.0290715264e+00,-1.4950731739e+01,3.3485661091e-04,1.4950731739e+01
2.2057622250e-04,1.2094469862e-04,-3.2950839641e+00,-5.7541010759e+00,-1.1726640213e+01,1.2354670509e+01,-3.7788974436e-01,-1.4643834433e+01,-1.8724189623e-02,1.4643834433e+01
2.2102132926e-04,1.2473960191e-04,-2.8973890107e+00,-5.9437580909e+00,-1.1512056855e+01,1.2713601429e+01,1.3547827405e-01,-1.4544924140e+01,9.8664521234e-02,1.4544924140e+01
2.1749925362e-04,1.2744347026e-04,-2.7466527252e+00,-5.8943376531e+00,-1.1595175341e+01,1.2764938901e+01,1.9892687774e-01,-1.4540754944e+01,1.5493240953e-01,1.4540754944e+01
2.2145083684e-04,1.2853289765e-04,-2.4679725352e+00,-6.1090514864e+00,-1.1318865059e+01,1.3065469075e+01,6.4993329041e-01,-1.4436770885e+01,6.6071115566e-01,1.4436770885e+01
2.2497431981e-04,1.2581109140e-04,-2.6356771316e+00,-6.1624870849e+00,-1.1228112538e+01,1.3011242011e+01,5.8014924264e-01,-1.4443938913e+01,5.8932882771e-01,1.4443938913e+01
2.2540629023e-04,1.2960331927e-04,-2.2221522091e+00,-6.3011947902e+00,-1.1048843950e+01,1.3324350625e+01,1.0573193406e+00,-1.4328315500e+01,1.0546779962e+00,1.4328315500e+01
2.1791169967e-04,1.3123577017e-04,-2.2706588494e+00,-6.0597960149e+00,-1.1408776820e+01,1.3144700333e+01,7.4937844130e-01,-1.4428814110e+01,7.6221087608e-01,1.4428814110e+01
2.2893037681e-04,1.2686411472e-04,-2.4045878306e+00,-6.3596061559e+00,-1.0949560067e+01,1.3269765611e+01,9.8422879912e-01,-1.4338376697e+01,9.8190385489e-01,1.4338376697e+01
2.2848381140e-04,1.2307049266e-04,-2.7766587829e+00,-6.2208667323e+00,-1.1136069867e+01,1.2980688702e+01,5.3803979175e-01,-1.4450768441e+01,5.4638552174e-01,1.4450768441e+01
2.2936535147e-04,1.3065608076e-04,-2.0091018064e+00,-6.4722709686e+00,-1.0783004456e+01,1.3542376210e+01,1.4226414190e+00,-1.4214747681e+01,1.4232973676e+00,1.4214747681e+01
2.2582705856e-04,1.3339295062e-04,-1.7845846340e+00,-6.4115121364e+00,-1.0889832067e+01,1.3619465086e+01,1.5259934834e+00,-1.4200410184e+01,1.5267812368e+00,1.4200410184e+01
2.0130807061e-04,1.1906238517e-04,-4.6312168820e+00,-4.4798914041e+00,-1.3104061316e+01,1.0678438185e+01,-2.7024399382e+00,-1.5032838260e+01,-2.4713282338e-04,1.5032838260e+01
2.8631815118e-04,1.2650116051e-04,-2.5798419196e+00,-7.8028616598e+00,-6.9106655338e+00,1.4024586091e+01,3.3518448283e+00,-1.2842352282e+01,3.3518448284e+00,1.2842352282e+01
1.2478369869e-04,1.4721914752e-04,-3.9191043848e+00,-1.9163612242e+00,-1.6972501527e+01,1.1786778222e+01,-3.6407033769e+00,-1.7250902535e+01,-7.1505720760e-03,1.7250902535e+01
1.1947578208e-04,9.6815916706e-05,-3.2068349560e+00,3.0924532836e-01,-2.0566868184e+01,1.5036163242e+01,-3.2057186741e+00,-2.0567984465e+01,-1.1790926120e-03,2.0567984465e+01
1.1641351710e-04,9.8762029461e-05,-4.0079298789e+00,9.9446638033e-01,-2.1566377748e+01,1.5295116038e+01,-3.9565144516e+00,-2.1617793176e+01,1.6991390053e-03,2.1617793176e+01
