x_m y_m sigma_comp_mag_Pa
4.8829432355e-06 1.2716120806e-04 4.1745422107e+01
1.3436306822e-04 3.9657794480e-05 2.3017527444e+01
6.6096644290e-05 6.8383055290e-05 2.2686947811e+01
6.5388697913e-05 1.3936065775e-04 6.8842070175e+01
3.2211321779e-04 1.0700749152e-04 1.2316716874e+01
1.0179658846e-04 1.5639020789e-04 1.8411517793e+01
1.4153815582e-04 1.6442575432e-04 1.4109204357e+01
1.5991254609e-04 1.6529432736e-04 1.3806326904e+01
1.6931491098e-04 1.6423380286e-04 1.3784816319e+01
-1.8031713956e-04 1.3495488583e-05 4.8077451531e+01
1.7860258504e-04 1.6427457895e-04 1.3633163950e+01
2.6478121076e-04 1.3925199688e-04 1.2943968277e+01
2.2289861624e-04 1.5577342176e-04 1.3261227168e+01
1.3587464908e-04 9.6412873793e-05 1.7010275177e+01
2.3633039749e-04 1.5186010700e-04 1.3131288327e+01
-2.9830860403e-04 5.7411162655e-05 3.3734782974e+01
2.7287798354e-04 1.3721831630e-04 1.2783566194e+01
2.8135257884e-04 1.3337266429e-04 1.2683120724e+01
3.5468564869e-04 7.5193826057e-05 1.2031512613e+01
3.5753309240e-04 7.1694848300e-05 1.1997143131e+01
3.6321590519e-04 6.4610153261e-05 1.1901122269e+01
3.6838036312e-04 5.6795112197e-05 1.1805432537e+01
3.7336929384e-04 4.8882106121e-05 1.1658767246e+01
3.8872276400e-04 1.7336579654e-05 1.0034311028e+01
-2.0272254622e-04 9.5717235021e-05 3.5545783399e+01
3.7809517785e-04 4.0485848296e-05 1.1445160214e+01
-6.6712870364e-05 1.2139743549e-04 3.2159029208e+01
-3.6858590649e-05 1.2408520422e-04 3.1961174992e+01
1.8749508300e-04 1.6323490467e-04 1.3557577847e+01
5.9192695835e-05 1.3689497853e-04 7.0378968296e+01
2.8513283058e-04 1.3148796934e-04 1.2641669924e+01
3.1828773731e-04 1.1001934517e-04 1.2347751315e+01
-1.5970436326e-04 1.0908379008e-04 3.4146688210e+01
3.8471353238e-04 2.6454723814e-05 1.0867747564e+01
-2.5947417203e-04 7.4971419649e-05 3.7841257477e+01
3.5683280426e-04 6.7729701742e-05 1.2174847651e+01
-3.8747738709e-04 8.2998541588e-06 5.5491006574e+00
-1.9815696289e-04 9.6989945145e-05 3.5404234421e+01
-3.3598506693e-04 4.4464633660e-05 1.3670417936e+01
2.1428209933e-04 1.5831876689e-04 1.3318324663e+01
-1.5139279662e-04 1.0870403670e-04 3.3991592165e+01
-1.7719024631e-04 1.0268359938e-04 3.4745476437e+01
-2.3248611414e-04 8.5836901363e-05 3.6416001568e+01
2.9321861657e-04 1.2356115368e-04 1.2720870813e+01
2.6530737338e-05 1.2922410637e-04 4.8695579979e+01
-8.9492592747e-05 1.1938267593e-04 3.2544950990e+01
-1.9376609227e-04 9.8248354566e-05 3.5264213431e+01
1.9633775217e-04 1.6195977079e-04 1.3476658820e+01
-7.1963022001e-05 1.2114344936e-04 3.2238181460e+01
2.4540339625e-04 1.4600396890e-04 1.3184519673e+01
-1.3055858884e-04 1.1267803269e-04 3.3451793828e+01
2.7838491068e-04 1.3165513888e-04 1.2864257906e+01
4.2541110491e-05 1.3125698810e-04 5.6851296094e+01
1.1980458547e-04 1.5885471965e-04 1.7427683349e+01
