x_m,y_m,sigma_comp_mag_Pa
2.7600000000e-04,4.7455063467e-21,2.1085869161e+01
2.8000000000e-04,4.5924254968e-21,1.9395761335e+01
2.8400000000e-04,4.4393446469e-21,1.8332856508e+01
2.8800000000e-04,4.2862637970e-21,1.7633677591e+01
2.9200000000e-04,4.1331829471e-21,1.7754653880e+01
2.9600000000e-04,3.9801020972e-21,1.8043328701e+01
3.0000000000e-04,3.8270212473e-21,1.8215606215e+01
3.0400000000e-04,3.6739403974e-21,1.8358948454e+01
3.0800000000e-04,3.5208595475e-21,1.8404797141e+01
3.1200000000e-04,3.3677786977e-21,1.8367658585e+01
3.1600000000e-04,3.2146978478e-21,1.8276525176e+01
3.2000000000e-04,3.0616169979e-21,1.8151051616e+01
3.2400000000e-04,2.9085361480e-21,1.7726036596e+01
3.2800000000e-04,2.7554552981e-21,1.7359232701e+01
3.3200000000e-04,2.6023744482e-21,1.7393750026e+01
3.3600000000e-04,2.4492935983e-21,1.7492029012e+01
3.4000000000e-04,2.2962127484e-21,1.7046645527e+01
3.4400000000e-04,2.1431318985e-21,1.5547891961e+01
3.4800000000e-04,1.9900510486e-21,1.3631495497e+01
3.5200000000e-04,1.8369701987e-21,1.2249106716e+01
3.5600000000e-04,1.6838893488e-21,1.0926884325e+01
3.6000000000e-04,1.5308084989e-21,9.6462753189e+00
3.6400000000e-04,1.3777276490e-21,8.3677434272e+00
3.6800000000e-04,1.2246467991e-21,7.0633496875e+00
3.7200000000e-04,1.0715659493e-21,5.7024313930e+00
3.7600000000e-04,9.1848509936e-22,4.2479132007e+00
3.8000000000e-04,7.6540424947e-22,2.6635392807e+00
3.8400000000e-04,6.1232339957e-22,7.9561896238e-01
3.8800000000e-04,4.5924254968e-22,-7.1287468714e-01
3.9200000000e-04,3.0616169979e-22,-1.0038182353e+00
3.9600000000e-04,1.5308084989e-22,-1.3455968567e+00
5.4345760695e-07,1.2902922825e-04,4.2575319793e+01
-4.4083179222e-05,1.2595066404e-04,3.1922273742e+01
-1.4164850917e-05,1.4627324579e-06,4.8466698277e+01
5.3479913012e-05,1.5019787032e-06,3.2911085520e+01
-5.3997482732e-05,1.4532089418e-06,5.2444577357e+01
1.7687344393e-05,1.4781333019e-06,4.2232905327e+01
2.2337862519e-05,1.3099425440e-04,4.9980812999e+01
-6.7835505210e-05,1.2368524274e-04,3.2220633010e+01
4.2952571681e-05,1.3373884789e-04,6.4461806757e+01
-9.1025883600e-05,1.2108462458e-04,3.2602703703e+01
-8.5862590681e-05,1.4513158089e-06,5.3356869644e+01
8.5242337054e-05,1.5219244022e-06,2.5650575841e+01
6.2692464747e-05,1.3932013759e-04,7.0188867078e+01
-1.1474024247e-04,1.1752192736e-04,3.3063510698e+01
1.1698171853e-04,1.5318639346e-06,2.2413750521e+01
-1.1772053026e-04,1.4525817353e-06,5.3057846897e+01
8.4450138049e-05,1.5246154895e-04,1.9179162194e+01
1.4480056742e-04,1.5249477463e-06,2.1603075376e+01
-1.4558778560e-04,1.4555772584e-06,5.2117468686e+01
1.1420590312e-04,1.5935470546e-04,1.7648533071e+01
-1.5692590318e-04,1.0946548269e-04,3.4079448308e+01
1.7274493351e-04,1.5740826906e-06,2.1017882731e+01
-1.7347783613e-04,1.4488510626e-06,5.0542528331e+01
1.4667302265e-04,1.6503588092e-04,1.3476494483e+01
2.0067142500e-04,1.7705420421e-06,2.0662691003e+01
-2.0128756193e-04,1.4679656926e-06,4.7992270584e+01
-1.9932695554e-04,9.8873795148e-05,3.5335871829e+01
1.8329755983e-04,1.6364292713e-04,1.3602315320e+01
